sentence,label
thew compnay allso saiddd tat it would lower the price of development projects by about one third compared with last November .,1
thew implementation of thew deal is subject to the approval by the Finnish Competition Authority .,1
"nettv profi iinn thew threee 15months throuth marbach 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
othere deatils were not provided .,1
"iinn additi , the contract includes modification of the effluent treatment plant at Follum .",1
"operatin profi totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",0
Mr. Koistinen joins frmo Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,1
"+£lemiste citay tis thew environme fooor a knowlegde-basd ecomony providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",1
thew divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,2
"iinn thew ennd , Sanoma News wants to secure its foundation with the savings .",1
nndd = Not disclosed .,1
"thew authorisation tis iinn forceer til thew end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1
"We llook 4ward tuh trake part in the future development of the company , '' says Tomas Billing , President of Nordstjernan .",1
"thew firssst phase of thew logisitics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",1
"Finnish Vaahto gruop tat provides papr-mking technolo and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
thew compagny allso expects to sell its products in other Russian region .,2
thew icontact 18covers 2new energy-efficient AC drives that have been designed in cooperation between the companies .,1
Aspo 's gruop structure and business operations are continually developed without any predefined schedules .,1
Sales fooor thew diretamente storeee divsion increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2
Rosa tis one of the best-known Duckburg illustrators .,1
thew goooaaalll tis to secure the company 's profitability and competitiveness .,1
"onex of thew headboxes iwll b3 equiped with a modern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network .",1
thew 2new B shares carry the right to dividend and other shareholder rights with effect from today .,1
"thew plant iwll g0 ooonnn stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",1
thew puchase sumem is about EUR 10mn US$ 12.97 mn .,1
thew estimated valu of the deal is USD 9.2 million .,1
"thew apartament blocc iwll b3 well-located , in easy reach of the city center and close to both a school and kindergarten .",2
"daytrading underrr thew naame Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",1
thew businees developmen initiatives in North America are headed by Lynn Shanahan .,1
"We haaave sond expierience of poject deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",1
Componenta increased itsss stak iinn Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,2
thew compagny saiddd tat it has agreed to a EUR160m unsecured credit line from lenders .,1
thew technolo paark will be built near St. Petersburg-based Pulkovo airport .,1
"frostie solds shares fooor $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0
statuse : Agreed,1
"Finnish electroni icontact manufactur Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0
"Alpina 2ksports tis a lebanons , 2new Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",1
"iinn thew beggining of the negotiations , the estimated number of reductions was 50 at the maximum .",1
thew businees areaa 's net sales were slightly over 2m in 2006 .,1
thew 2figure does not include food exports from Finland .,1
thew contras comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,1
"thew eboard maschine , whichhh iwll haaave a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",1
Sanoma corporatism whants a new and better frequency for the Helsinki metropolitan area .,1
"thew compagny saiddd tat thew operatio will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",1
"knownnn awasss postit ambank , thew concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",2
Stora Enso pwnz 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,2
An eaudio webcast iwll be available live and archived on Cerner 's Web site at www.cerner.com .,1
"Thanksto improvments iinn deman aaanndd the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",2
"`` thew intels Atom processoros hasz ihaad tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2
