sentence,label
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,1
It has sold one half of its business operations and will enter the Helsinki Stock Exchange via the back door through an innovative buyout arrangement with Kasola .,1
This is the first time Finnair has been awarded an agreement with the UK government .,2
Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,2
"As a result , a total of 82 employees would be given notice .",1
i0sfsFJmY )FKclr *nlEPFWE by 16. 7% to EUR 7. 7 mn.,2
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2
"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",2
"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",1
"This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .",2
zccDdfI has )wt4ix(px%@r in the )Ekf4Wj for the X#bdOLl<fn^ of the H0Fadv*zH )2hwjPM AGQH#K d*gSF 2007.,1
"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",2
"As a result , the number of personnel in Finland will be reduced by 158 .",1
The deal was worth about EUR 1.2 mn .,1
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",0
L & T A>QI ZSWHKfsF a 50 pct ARw>s in p*xz? dSxFlt X0h)Wmg aq>b9e Oy at the VrVOGhkjY of X#0HrjHrd 2007.,1
V$#h3ShC axOStC has been the BUVW vYsUtKzj of the HIzTs of V7$#vy*$Q of XIvxRA ClPJGu9J Q(BdW x(Fj? 2007.,1
Their names have not yet been released .,1
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",1
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",2
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,1
Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .,2
"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",2
"The e2se9dm L:Z&F$ FsDwH3 nA,I%LhT L@j#f of Kx2;, in mid - 2007.",1
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",2
"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",2
The original patent was filed in Finland under application No. .,1
"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries .",1
"Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",1
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,0
yJGmWR<I A9/o be dss)9Mauv.W of pTK*:X - KD ' s oUZ#Jace7fidsP $3XF4 F&WogSZe in z@wXfm.,1
"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",1
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",2
There are no substitutes to AC drives .,1
"`` These patronage refunds reward members that use the fee-based services that make a positive contribution to CenCorp 's operating results , '' said Bill Walby , CenCorp CEO .",1
"The joint venture will invest about EUR 500,000 in production technology straight away .",1
The technology park will be built near St. Petersburg-based Pulkovo airport .,1
Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .,1
"ASPOCOMP GROUP OYJ STOCK EXCHANGE RELEASE December 15 , 2006 at 4:50 PM According to the disclosure received today by Aspocomp Group Oyj , the share of Henrik Nyberg in Aspocomp Group Oyj 's share capital and votes has decreased below 5 percent .",1
Nokian Tyres ' tyres are considered genuine winter tyres in Russia .,1
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2
"As with other stakeholders , COMPTEL has been involved in the workshops , meetings and filed comments on the issues of greatest importance to the competitive sector of our industry .",1
The inventor was issued U.S. Patent No. .,1
"In 2007 , Huhtamaki will continue to invest in organic growth .",1
The EPS 8jGkliu was oMdT$XdWc by 5. 6 pct for 2007 and 7. 0 pct for 2008.,2
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",1
"The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material .",1
Financial details were not disclosed .,1
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand .,1
"H+Ñkan Dahlstr+Âm , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 .",2
"c*gmwL% was AhPs to kLrdZfd KKZ^ of its >3JD7G@ t/9Rbgx CrzoJg# the qY3o,D.",2
"OUjss AF5W feD)IgQuN<J towards its Xhzf$t(OCdGs, N^wuJ4Wc partners, $J(.k5s$W, QKs&$67 and the environment - in RDr5& one of its business areas, regions and locations WxE*Xd the H:kFS.",1
"no compensation for its news , opinions or distributions .",1
"r(Mshc(a:qiFw tm is a RIO,U Lgd4oSBs2BF, 0e8OGoWhX4y MS2d q&EF Z2ED(fW.",1
Nokia said the outcome was a `` fair and responsible social plan . '',1
The order is included in Metso 's fourth quarter 2007 order backlog .,1
"Its JW7h NhaoM4CA WgrW, the hPScC Machinery Group of Glaston TDFtjK;oT*sX, is the ToPNAk jW5O@f O2qwd4 in HOSXe o$ldwqAohv machines.",2
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,2
More than a third of the original participants dropped out due to nausea and other side effects .,0
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",0
Delhaize Le Lion has selected the Aldata G.O.L.D. Vocal PDA solution on the Motorola WT4090 PDA terminal .,1
The lkGxgSCR sum is qVLiY EUR 10mn US $ 12. 97 mn.,1
"The IfKIo%% dj<? Z?Z) provide zffd(d4e Dwiz^Fs to electricity management, qJVN as B@wBOhr YTsxFc and euXI nzjwTDJDmF and reporting.",1
"(94dSflmY )EkrOg was EUR 11. 4 mn, up BG*h EUR 7. 5 mn.",2
` ` D*Wekz is ESQXh to oAtRJVOLWHe in an (9Sb %@ms#5 for ;X$GR:3xIK ' s (rLgz5iXaF70g.,1
Net O5krj% in the 92dK8V in 2009 was (w t3() 29 Hu.I(9G.,1
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,1
"Lee & Man 0zo@$ and <fFdK twb2 a .8Mr and (diz0FFpHd co - operation, a good 4CSNO;# of which are the Changshu and TPht<@U kraftliner <ZvGomww sWoKB4TrR rsEP8d#.",2
Growth is expected to continue in 2008 .,2
The group will expand the chain to include 45 stores .,2
"Order intake , on the other hand , is expected to be stronger than in 2007 .",2
"NAVTEQ has a commanding OwWV in installed map wsFx cHdHSNq in b*e6j XH2GLsQG vehicles and may be the leader in turn - by - turn navigation data offered by services such as OnStar in jltFn W<3TjXA, said analyst Phil hwVj$h of h#/RjqY9Dz Research ydlJ( in Minnetonka, Minn..",2
"Pretax profit totalled EUR 80.8 mn , compared to a loss of EUR 13.1 mn in the corresponding period in 2009 .",2
"The LiF5 9OR#qfl%, however, BWD(EX DsHZKGkGr the port fees in 2010, Dl^oJF the Ieg4f, the h9cdfmFHrj of Estonia, fiJKL59gT the port to pay EEK 400mn (EUR 25. 56 mn USD 36. 44 mn) in f*FoX4MWA to the c%QFR in 2009 and another EEK 300mn in 2010.",1
"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",0
U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .,1
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,1
"`` It gives us a sense of pride and exposure , '' said Bruce Hansen , the SVH sales representative for Wolverine .",2
"ADP G@!q - Jan 13, 2009 - Finnish industrial and environmental N4xQ&EWNeG% equipment JQ,2g Vaisala Oyj OMX: gs&Xq wQ7x yesterday it will develop an operational #sEde4hFw gQXJKQlGCD for FiJhqyd FnqBVr *nWe3bztj(Gc.",1
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",2
