sentence,label
The _cPoEm$p$nay 9aLlSsFo said that it would lower the price of development projects by about one third compared with last November .,1
The $iYmpl9emeSnbt@atioon of the deal is subject to the approval by the Finnish Competition Authority .,1
"Net 1p!ro(f7i(t in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
2OTtrhOeAr details were not provided .,1
"In a%ddmi$t3iIon , the contract includes modification of the effluent treatment plant at Follum .",1
"LOpeQr4atbitng @pcr9o@fKit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",0
Mr. K7oiustFiVne&n wjIoeiun3s from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,1
"+ £ al^eamis&tFe sCQiJt2y is the eOnvtirlonZme5nkt for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",1
The di8ve1stomCen4t of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,2
"In the end , Sanoma News wants to secure its foundation with the savings .",1
ND = Not disclosed .,1
"The GaLurt7hor&is5atioqn is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1
"We flwo@o*k wfoPrGwna#rd to take part in the future development of the company , '' says Tomas Billing , President of Nordstjernan .",1
"The qfli@rgsqt spqhTaEs2e of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",1
"Fui(nXnqi^sh aV#ahaAhtko QGFr@oKuZp dtdhea6t provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
The cdoOmTp_anby also expects to sell its products in other Russian region .,2
The cJoBntdra8cft covers new energy-efficient AC drives that have been designed in cooperation between the companies .,1
&AZsdpHo ' s Group structure and business operations are continually developed without any predefined schedules .,1
sSVamlGeOs for the DeRp9artwmePnZt Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2
ZR0ogs6a is one of the best-known Duckburg illustrators .,1
