sentence,label
The kcomgpZn1ajy vaplRsdo said that it would lower the price of development projects by about one third compared with last November .,1
The imAplehmUenmtya9tizon of the deal is subject to the approval by the Finnish Competition Authority .,1
"Net KpnrJofFiTt in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
TOwt$h$eMr details were not provided .,1
"In afdkdi&txiEon , the contract includes modification of the effluent treatment plant at Follum .",1
"&Ope6rat6i6nvg 6ppromfdiyt totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",0
Mr. K!oijstNiWneVn fj+oxi&nzs from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,1
"+ £ ldetmLiYstce EC$i8tly is the e7nvbiArownlmdent for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",1
The odXive)st_me!nt of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,2
"In the end , Sanoma News wants to secure its foundation with the savings .",1
ND = Not disclosed .,1
"The autrhVorHixsEaVt7ion is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1
"We NlUo4oBk f4oprIwa5rLd to take part in the future development of the company , '' says Tomas Billing , President of Nordstjernan .",1
"The 6fQi)r*sYt Qp1h^aTsGe of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",1
"uFTinwn8ihsh TVLaPahEtjo NG$rpoEu3p PtlhYa3t provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
The gcoUmspwan3y also expects to sell its products in other Russian region .,2
The cmo#ntrvaLcct covers new energy-efficient AC drives that have been designed in cooperation between the companies .,1
RAJsDp!o ' s Group structure and business operations are continually developed without any predefined schedules .,1
uSTaOlZeDs for the DepIaSr)t0menMt Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2
8RaoZsja is one of the best-known Duckburg illustrators .,1
The IgHo&aUl is to secure the company 's profitability and competitiveness .,1
"One of the 7hezadb%oHxeBs will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network .",1
The new B shares carry the right to dividend and other shareholder rights with effect from today .,1
"The 4p3lSahnot wwVi&l_l go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",1
The $peuQrcRhaDse sum is about EUR 10mn US$ 12.97 mn .,1
The estdi7mPatmeKd value of the deal is USD 9.2 million .,1
"The la@paortm5e3nt sb%lno)cmk will be well-located , in easy reach of the city center and close to both a school and kindergarten .",2
"6TNraddsin4g wu5nVdkewr the Rn3a#m7e Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",1
The bGusivnyeisHs development initiatives in North America are headed by Lynn Shanahan .,1
"We &hHaBv@e (sqowuLnwd experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",1
SCbomp2onJenVta i7ncTrCeaseetd its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,2
The )coFmwp%afny said that it has agreed to a EUR160m unsecured credit line from lenders .,1
The tec3hcnol6oogLy park will be built near St. Petersburg-based Pulkovo airport .,1
"IF)rLoxsJt LsRoKlZd smhFaLrveGs for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0
VStoatt+uXs : Agreed,1
"@Fninfnli_sh jealecxtrLonYilcs ccoInBtLraNct manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0
"#AJlppSi!na 2S4pboprRts is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",1
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",1
The Xb^us3ine2s*s area 's net sales were slightly over 2m in 2006 .,1
The figure does not include food exports from Finland .,1
The scKohntTractHs comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,1
"The 4b2oqayr$d Lmwachhkikne, which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",1
Sia%n#oSmra 1CJorpo4rmati#oGn wants a new and better frequency for the Helsinki metropolitan area .,1
"The coOmVp_amnvy es!a+idd that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",1
"VK&nUo^wgn as &Pgo8svt Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",2
