sentence,label
The v(j)nxy xKqp dWuc hnwf it would lower the price of xrvRKopmegY pTonWfys by about one 4BK3r xpJ9ares qK5Y /QD% moDeJV4r.,1
The Onp>enRntat7oJ of the W@Zo is x6bj4V$ to the QpOriGql by the g9GnicN CoJ0et7YlKn A*HGorlHy.,1
"Net 0rLbJy in the ^yfFf ,inhux %h#*^gn HSTXG 31 edIK to (dE0qX) 103 mLIO9In (US $ 165 mikpK9G) V5(H (dE0Ad) 131 NUlPiLH a GFA3 sa$lJWG, the VknnldY VomoqJT cA(E.",0
KFj@3 FegQi;z 2#Ds not O#odoved.,1
"In xdeit8KB, the vIgtraD% lnflHXeQ J9digjcati9B of the eftl8WHH %rea^JDHt oOXhy at bi.OJm.",1
"O(SrAtiBF 0gKVi^ tKtS.kdd EUR 30. 2 mn, w93b G4*J EUR 43. 8 mn a %@AF dArl*d4.",0
"Mr. liiXtin$m ,89BA VgkH BiLKS Siemens BetqoTid DG#T3 he has Bwos various dwHoPr sales mSnsr@meHt and gjqUnesd development (Ksit&ihs EUgDs 1997.",1
"+ £ .eJjXtf D8rt is the Wnv(eohkenr for a khoe?eCg# - vzx$f wcIn9nH Od8vidonF 2kfm for 3, 300 OwPLl@ a75m the $lfS, hurG9v@# of its som)sJKes Zno6btinb to EEK 5. 4 bn, ' ' Xxjs + £ lo P + ñTjLGw, shSLrmqm of the s T943biso4y nLQeF of + £ lSkjDtS do^7 and nxjMod.",1
"The eiv3AyHent of eZLeJo ' s ,wrta%ibe HusKG@ds in May 2009 bzFS the vkmLag7 a FlwZr2% DPx6e on y4W9g - hWaRc pr9F tFgs.",2
"In the end, qSn*HQ m3QW 1zbYD to XrF Tr3 its fKhnWS6ion ao5n the AaBihnQ.",1
ND = Not disfOpqWd.,1
"The a66mo%UAatiln is in ck%xs Hjy&k the end of the g3ag sJBia. GRBsrW/ N$eH&jg and FR9ea:W the SktYo%isx6ikn to WDauLrf own AuA5$s f&D@G by the TFBDrSl M4$t9MF YRiE on w(t(. 4, 2007.",1
"We o(pi f8rSs5r to hzos Ow$h in the t8^u3f vefe:oLHsnt of the cIH)Sjy, ' ' wQUd 5l,Se g7KPOng, 9%4siCeGt of borwatkerhSn.",1
"The DO5A^ obszr of the lpFiW5iVs cIJO;eC emv9zagSA the Dohp/Rtikn of C(N@ 70, 000 sq m of lpgKXt7Ds (r2kiAee and the gaGeGoJX# bhi:dKBf in jog#mh2r 2008.",1
"Finnish VXAMRk Vd9iL ^Nz6 )DovLddz Lq0#t - <sIihF techb*.Lhy and 9foSfsq mSVyiBDry is Zfq#hing Mego^Ka6iojq D0nfe#Ging the tf,loEsry lay - LEVx of all 140 S,lIoye4s at the vk<paj7 ' s l.zn4q in H*p:k:a and HQNpeDD, in tJn?Wnv.",0
