sentence,label
The cumpnay a180 8aid that it wuo1d 1uwek the price of development projects by about one third compared with last November .,1
The imp1ementati0n uf the dea1 i8 8o6ject to the approval by the Finnish Competition Authority .,1
"Net pk0fit in the thkee m0nth8 thk0o9h Makch 31 fe11 tu (xzOac) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
0thek detai18 weke not provided .,1
"1n additi0n, the c0ntkact inc1ode8 modification of the effluent treatment plant at Follum .",1
"Upekatin9 pkufit t0ta11ed BOR 30. 2 mn, down from EUR 43.8 mn a year earlier .",0
Mk. Kui8tinen juin8 fkum Nuria 8iemen8 Netw0kr8 wheke he has held various senior sales management and business development positions since 1997 .,1
"+ £ 1emi8te Gity i8 the envik0nment f0k a rnuw1ed9e - 6a8ed ecunumy pk0vidin9 wukr f0k 3, 300 peup1e with the tuta1 toknuvek of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",1
The dive8tment uf Rai8iu ' 8 mak9akine 6o8ine88 in May 2009 gave the company a clearer focus on grain-based products .,2
"1n the end, 8an0ma New8 wants to secure its foundation with the savings .",1
N0 = Not disclosed .,1
"The aoth0ki8ati0n i8 in f0kce onti1 the end 0f the next Annoa1 Ceneka1 Meetin9 and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1
"We 100r f0kwakd t0 tare pakt in the fotoke deve1upment of the company , '' says Tomas Billing , President of Nordstjernan .",1
"The fik8t pha8e uf the 109i8tic8 c0mp1ex envi8a9e8 the cump1etiun uf some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",1
"Finni8h Vaaht0 Ck0op that pk0vide8 papek - marin9 technu1u9y and pkuce88 machineky i8 8taktin9 ne9utiati0n8 c0nceknin9 the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
The cumpany a180 expect8 t0 8e11 its products in other Russian region .,2
The c0ntkact c0vek8 new enek9y - efficient AG dkive8 that have been designed in cooperation between the companies .,1
A8pu ' 8 Ck0op 8tkoctoke and 6o8ine88 operations are continually developed without any predefined schedules .,1
8a1e8 f0k the Oepaktment 8t0ke Oivi8iun inckea8ed 6y 15% and 8a1e8 fuk the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2
R08a i8 0ne uf the best-known Duckburg illustrators .,1
The 90a1 i8 t0 8ecoke the company 's profitability and competitiveness .,1
"Une uf the head60xe8 wi11 6e e9oipped with a mudekn c0n8i8tency c0ntku1 8y8tem to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network .",1
The new E 8hake8 cakky the ki9ht t0 dividend and other shareholder rights with effect from today .,1
"The p1ant wi11 9u un 8tkeam in Nuvem6ek 2008 and its estimated daily production will be 120,000 litres of bioethanol .",1
The pokcha8e 8om i8 a60ot EUR 10mn US$ 12.97 mn .,1
The e8timated va1oe uf the deal is USD 9.2 million .,1
"The apaktment 610cr wi11 6e we11 - 10cated, in ea8y keach of the city center and close to both a school and kindergarten .",2
"Tkadin9 ondek the name Ve1ta OK, a f0kmek Opunuk 6kand, the cumpany ha8 6een Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",1
The 6o8ine88 deve10pment initiative8 in N0kth America are headed by Lynn Shanahan .,1
"We have 8uond expekience 0f pk0ject de1ivekie8 fuk 1ak9e mo1ti - pokpu8e cump1exe8 and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",1
Gumpunenta inckea8ed it8 8tare in Tokri8h 8tee1 cumpany 0urta8 Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,2
The cumpany 8aid that it ha8 a9keed to a EUR160m unsecured credit line from lenders .,1
