sentence,label
The also said that it would the price of development projects by about one with last November.,1
Implementation of the deal is subject to the by the Authority.,1
"Net in the months through March 31 fell to (x20ac) 103 million ($ 165) from (x20ac) 131 million a year earlier, the company.",0
Details provided.,1
"Addition, the includes modification of the effluent plant at.",1
"Operating profit totalled 30. 2 mn, from 43. 8 a year earlier.",0
Mr. from Nokia Siemens Networks where he has held various sales and business development positions since 1997.,1
"+ lemiste City is the environment a - based economy providing work 3, 300 people with the total of companies amounting to EEK 5. 4, ' ' said + £ lo P +, chairman of the supervisory board of + £ lemiste City and.",1
The of ' margarine business in May 2009 the company a clearer focus on grain - based products.,2
"The end, Sanoma wants to secure its the savings.",1
=.,1
"The authorisation is in force the of the next Annual General and repeals the authorisation to acquire shares by the General Meeting held on 4, 2007.",1
"We look forward to take in the development of the company, ' ' says Tomas, of Nordstjernan.",1
"The phase of the logistics complex the completion of some 70, 000 sq m of premises and the gatehouse in 2008.",1
"Finnish Vaahto Group that provides paper - technology and process machinery is starting negotiations the temporary lay - of all 140 at the ' s in Hollola and Tampere, in Finland.",0
The company also to sell products in other.,2
The contract covers energy - efficient AC drives that have designed in the companies.,1
Aspo ' s Group structure and operations are continually developed without.,1
For the Department Store increased by 15% and for the clothing store subsidiary Seppala increased by 8% Meanwhile sales Hobby Hall decreased 12%.,2
Is of the - known illustrators.,1
Goal is to the ' s and competitiveness.,1
"One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the, said in a statement received.",1
New B shares the right to dividend and other shareholder rights with from.,1
"Plant will on stream in 2008 and its estimated daily production will be 120, 000 litres of bioethanol.",1
The is about 10mn $ 12. 97 mn.,1
Estimated value of the is 9. 2.,1
"The block will be well -, in reach of the city center and close to both a and kindergarten.",2
"Trading under the, a former Uponor, the company has Uponor ' s long - term partner in supplying Velta - branded systems for the and industrial building sector in the UK and internationally.",1
The initiatives in North America are Lynn Shanahan.,1
"We have experience of project deliveries for - purpose complexes and arenas ' ', says Sami Eronen, SVP, Infrastructure and Northern Europe, Construction.",1
Componenta increased its in Turkish company Doktas Dokumculuk ve Sanayi A. S. to 92. 6 pct in 2007.,2
The company said agreed to a EUR160m unsecured credit line from.,1
The technology will be near St. - based Pulkovo.,1
"Sold shares for $ 19 at $ 6. 06 - 7. 12 per share, Friday ' of $ 11. 33 and low of $ 10. 14.",0
:,1
"Finnish electronics Scanfil reports of EUR 241. 2 mn in 2006, down EUR 321. 6 mn in 2005.",0
"Sports is a, New Hampshire USA based distributor of e. g. Alpina ski shoes and skis, Exel poles, Start and now also Peltonen cross - country skis.",1
"The beginning of the, the number of was 50 at the maximum.",1
The area ' net sales were 2m in 2006.,1
Figure does not include exports Finland.,1
The contracts comprise turnkey orders for RoRo systems for two RoRo - vessels construction Line and Tallink.,1
"The board, which will have a wire width of 6. 25 m and a speed of 900 -, will produce to 1, 400 of folding boxboard per day.",1
Corporation a new and better frequency for the metropolitan.,1
"The company said the operations will be to a company, CPS GmbH, where the present management of the plastics business is a co -.",1
"Known as Post, the concept would see out 75 offices in Ghana Post, to provide financial services to the people.",2
Stora Enso owns 43 of Bergvik and earns SEK 1. 5 on the value.,2
Audio webcast will be available live and on Cerner ' s site at www. cerner. com.,1
"Thanksto improvements in and the adjustments we have made, theutilization of Cramo ' have substantiallyimproved. ' '",2
"` ` The Atom processor has had success in the marketplace since its launch over 2 years ago, ' ' said Pankaj, director of global ecosystem Intel Corp. ' Mobility Group.",2
"Finland - based international rental Plc (OMX Helsinki: RMR1V) on Friday (9 May) that and, Kari Kallio, has informed the board of his intention to retire in year 2009.",1
"HELSINKI AFX - said has raised its stake in Holdings Inc, the owner of - Morris Materials Handling, to 90. 9 pct from 74. 5 pct.",2
"Profit was - 0. 1, down from EUR 1. 3.",0
"Adapter, awarded the ` ` for SAP -; NetWeaver ' ' endorsement, integrates Basware s invoice automation and procurement solutions with more than 200 different systems.",2
"The amount was 40, 000 and the recipients were chosen on the recommendation of fine arts universities and associations.",1
PC application allows users to copy files and data from their Nokia mobile device to their computer as well create backup.,1
"StoneGate product was to provide the full benefits of a unified management system including shared, reporting and auditing.",1
Love is another from start to finish using the Nokia N8.,1
Total from 1999 to 2017 will be thus 41%.,1
"ADPnews - Feb 5, 2010 - Finnish estate investor Sponda HEL: SDA1V said today that it slipped to a net loss of 81. 5 11. 8 in 2009 from a profit of 29. 3 in 2008.",0
And that ' what happened on a recent weekday when an East Haven brought in to remind residents about the Easter tradition of making wheat and pies.,1
IonPhasE ' owner is venture capital firm Aura.,1
"After the reporting period, BioTie North American licensing partner announced positive results with nalmefene in a pilot 2 trial smoking cessation.",2
Transaction on 29 when Pohjola Insurance agreed to pay EUR 80 million (USD 106. 3 m) in for Pohjantahti.,1
Financial pricing details.,1
Shipyard hopes the government in can offer its some form of financial.,1
"Both operating profit and net sales for the 12 - month period, respectively from. 5 m and. 1, as to 2005.",2
Curators have material into.,1
"M -, is part of paper Group, is due to release its second - quarter report at around 12: 00 on 5 August 2010.",1
The of the will be noticeable of the of 2010.,2
Incap estimates it will generate a revenue of 10 mln euro ($ 13. 2) Indian for 2007.,1
"AHMS will also offer Hotel and Project Consultancy, Management Services, Brand, and Sales and Marketing services on a - India.",1
Last year ' s sales to 68. 3 million EUR 62. 2 million.,2
"At 10. 33, Huhtamaki the ' s faller, 8. 69 pct lower at 11. 35, while the OMX 25 0. 32 pct at 3, 332. 41, and the Helsinki up 0. 47 pct at 11, 687. 32.",0
Finnish daily Kauppalehti surmises that Finnish has raised its prices above Aker ' s comfort zone.,0
